Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Latency (s),0.487,0.624,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,789.5,771.5,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),0.555,0.52,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,697.0,796.0,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,2.6,2.6,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.4,2.6,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
multi-hop,Multi-hop reasoning,2.6,2.6,Hai phương pháp gần nhau.
multi-hop,Latency (s),5.171,4.832,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,832.4,830.4,GraphRAG không đắt hơn trong sample này.
